ativo,preco,moeda,horario_coleta
SI=F,38.02000045776367,USD,2025-08-14 19:40:35.527469
BTC,118281.275,USD,2025-08-14 19:41:35.996401
GC=F,3380.300048828125,USD,2025-08-14 19:41:36.384005
CL=F,63.959999084472656,USD,2025-08-14 19:41:36.662384
SI=F,38.029998779296875,USD,2025-08-14 19:41:37.016587
BTC,118196.745,USD,2025-08-14 19:42:37.639873
GC=F,3379.800048828125,USD,2025-08-14 19:42:37.994388
CL=F,63.959999084472656,USD,2025-08-14 19:42:38.357191
SI=F,38.029998779296875,USD,2025-08-14 19:42:38.560045
BTC,118257.465,USD,2025-08-14 19:43:38.978366
GC=F,3379.800048828125,USD,2025-08-14 19:43:39.259186
CL=F,63.93000030517578,USD,2025-08-14 19:43:39.529993
SI=F,38.03499984741211,USD,2025-08-14 19:43:39.906555
BTC,118294.945,USD,2025-08-14 19:44:40.520197
GC=F,3379.60009765625,USD,2025-08-14 19:44:40.867025
CL=F,63.95000076293945,USD,2025-08-14 19:44:41.163721
SI=F,38.03499984741211,USD,2025-08-14 19:44:41.492948
BTC,118299.815,USD,2025-08-14 19:45:41.960895
GC=F,3379.60009765625,USD,2025-08-14 19:45:42.228543
CL=F,63.95000076293945,USD,2025-08-14 19:45:42.525853
SI=F,38.03499984741211,USD,2025-08-14 19:45:42.771804
BTC,118307.125,USD,2025-08-14 19:46:43.196594
GC=F,3379.39990234375,USD,2025-08-14 19:46:43.527962
CL=F,63.959999084472656,USD,2025-08-14 19:46:43.870626
SI=F,38.029998779296875,USD,2025-08-14 19:46:44.169693
BTC,118303.555,USD,2025-08-14 19:47:44.639370
GC=F,3379.10009765625,USD,2025-08-14 19:47:44.992912
CL=F,63.959999084472656,USD,2025-08-14 19:47:45.354041
SI=F,38.025001525878906,USD,2025-08-14 19:47:45.683684
BTC,118324.505,USD,2025-08-14 19:48:46.077996
GC=F,3379.800048828125,USD,2025-08-14 19:48:46.416298
CL=F,63.93000030517578,USD,2025-08-14 19:48:46.739735
SI=F,38.03499984741211,USD,2025-08-14 19:48:47.049161
BTC,118350.93,USD,2025-08-14 19:49:47.416050
GC=F,3380.60009765625,USD,2025-08-14 19:49:47.696787
CL=F,63.939998626708984,USD,2025-08-14 19:49:47.972971
SI=F,38.040000915527344,USD,2025-08-14 19:49:48.286762
BTC,116290.565,USD,2025-08-18 16:45:55.103785
BTC,116332.875,USD,2025-08-18 16:47:25.124755
BTC,116291.205,USD,2025-08-18 16:48:55.644363
BTC,116342.1,USD,2025-08-18 16:50:26.171707
BTC,116286.745,USD,2025-08-18 16:51:56.693516
BTC,116307.835,USD,2025-08-18 16:53:27.216266
BTC,116321.425,USD,2025-08-18 16:54:57.736396
BTC,116435.965,USD,2025-08-18 16:56:28.257979
BTC,116420.955,USD,2025-08-18 16:57:58.763171
BTC,116339.85,USD,2025-08-18 16:59:29.216185
BTC,116386.565,USD,2025-08-18 17:00:59.686862
BTC,116407.825,USD,2025-08-18 17:02:30.187219
GC=F,3378.199951171875,USD,2025-08-18 17:02:31.258569
CL=F,63.34000015258789,USD,2025-08-18 17:02:31.557087
SI=F,38.09000015258789,USD,2025-08-18 17:02:31.827169
BTC,116416.315,USD,2025-08-18 17:03:32.195956
GC=F,3378.300048828125,USD,2025-08-18 17:03:32.445563
CL=F,63.349998474121094,USD,2025-08-18 17:03:32.670535
SI=F,38.084999084472656,USD,2025-08-18 17:03:32.960512
BTC,116366.565,USD,2025-08-18 17:04:33.435460
GC=F,3378.300048828125,USD,2025-08-18 17:04:33.805253
CL=F,63.349998474121094,USD,2025-08-18 17:04:34.045684
SI=F,38.084999084472656,USD,2025-08-18 17:04:34.397417
BTC,116410.065,USD,2025-08-18 17:05:34.870983
GC=F,3377.60009765625,USD,2025-08-18 17:05:35.226306
CL=F,63.36000061035156,USD,2025-08-18 17:05:35.448273
SI=F,38.084999084472656,USD,2025-08-18 17:05:35.733507
BTC,116370.075,USD,2025-08-18 17:06:36.036135
GC=F,3377.89990234375,USD,2025-08-18 17:06:36.265819
CL=F,63.31999969482422,USD,2025-08-18 17:06:36.480332
SI=F,38.084999084472656,USD,2025-08-18 17:06:36.766391
BTC,116322.945,USD,2025-08-18 17:07:37.133656
GC=F,3378.699951171875,USD,2025-08-18 17:07:37.408358
CL=F,63.29999923706055,USD,2025-08-18 17:07:37.964078
SI=F,38.09000015258789,USD,2025-08-18 17:07:38.204343
BTC,116330.445,USD,2025-08-18 17:08:38.574499
GC=F,3378.699951171875,USD,2025-08-18 17:08:38.809018
CL=F,63.33000183105469,USD,2025-08-18 17:08:39.117426
SI=F,38.095001220703125,USD,2025-08-18 17:08:39.665775
BTC,116349.615,USD,2025-08-18 17:09:40.121266
GC=F,3378.699951171875,USD,2025-08-18 17:09:40.535214
CL=F,63.34000015258789,USD,2025-08-18 17:09:40.750805
SI=F,38.084999084472656,USD,2025-08-18 17:09:40.995569
BTC,116413.82,USD,2025-08-18 17:10:41.396590
GC=F,3378.300048828125,USD,2025-08-18 17:10:41.610069
CL=F,63.33000183105469,USD,2025-08-18 17:10:42.161745
SI=F,38.09000015258789,USD,2025-08-18 17:10:42.425500
BTC,116454.54,USD,2025-08-18 17:11:42.896775
CL=F,63.33000183105469,USD,2025-08-18 17:11:56.050587
SI=F,38.07500076293945,USD,2025-08-18 17:11:56.358344
BTC,116477.905,USD,2025-08-18 17:12:56.768898
GC=F,3378.5,USD,2025-08-18 17:12:57.130361
CL=F,63.31999969482422,USD,2025-08-18 17:12:57.369949
SI=F,38.08000183105469,USD,2025-08-18 17:12:57.620960
BTC,116526.445,USD,2025-08-18 17:13:58.062145
GC=F,3378.89990234375,USD,2025-08-18 17:13:58.387318
CL=F,63.33000183105469,USD,2025-08-18 17:13:58.632912
SI=F,38.084999084472656,USD,2025-08-18 17:13:58.878889
BTC,116513.985,USD,2025-08-18 17:14:59.300542
GC=F,3378.699951171875,USD,2025-08-18 17:14:59.665340
CL=F,63.34000015258789,USD,2025-08-18 17:14:59.961324
SI=F,38.084999084472656,USD,2025-08-18 17:15:00.186886
BTC,116476.935,USD,2025-08-18 17:16:00.477449
GC=F,3378.300048828125,USD,2025-08-18 17:16:00.834748
CL=F,63.33000183105469,USD,2025-08-18 17:16:01.061110
SI=F,38.08000183105469,USD,2025-08-18 17:16:01.358770
BTC,116487.965,USD,2025-08-18 17:17:01.669780
GC=F,3378.699951171875,USD,2025-08-18 17:17:02.040235
CL=F,63.29999923706055,USD,2025-08-18 17:17:02.266143
SI=F,38.07500076293945,USD,2025-08-18 17:17:02.536589
